,X,Channel,Activity,Genotype,Sex,Age,Rep
183,103,adj_Monitor15_ch17,1378.2,Y160C,F,W0,R2
184,12,adj_Monitor10_ch20,1376.8,Y160C,F,W0,R4
185,988,adj_Monitor6_ch31,1373.4,KO,F,W0,R4
186,901,adj_Monitor49_ch9,1373.2,Y160C,M,W0,R2
187,905,adj_Monitor50_ch12,1373,W422X,F,W0,R3
188,126,adj_Monitor15_ch9,1368.2,Y160C,F,W0,R2
189,262,adj_Monitor20_ch19,1367.4,Y160C,M,W0,R1
190,289,adj_Monitor21_ch16,1367.4,WG2,M,W0,R3
191,59,adj_Monitor11_ch6,1363.2,W422X,F,W0,R4
192,218,adj_Monitor19_ch8,1362.6,KO,M,W0,R2
193,132,adj_Monitor16_ch14,1361.8,WG2,F,W0,R4
194,350,adj_Monitor24_ch14,1358.8,WG2,F,W0,R1
195,868,adj_Monitor45_ch8,1358.8,KO,F,W0,R3
196,237,adj_Monitor1_ch25,1358.2,Y160C,F,W0,R3
197,538,adj_Monitor31_ch19,1354.8,W422X,M,W0,R4
198,995,adj_Monitor6_ch9,1354.2,KO,F,W0,R4
199,211,adj_Monitor19_ch30,1353.4,KO,M,W0,R2
200,502,adj_Monitor30_ch13,1350.8,Y160C,F,W0,R1
201,73,adj_Monitor14_ch19,1350.4,W422X,F,W0,R1
202,19,adj_Monitor10_ch27,1350.2,Y160C,F,W0,R4
203,661,adj_Monitor35_ch19,1350.2,KO,M,W0,R3
204,187,adj_Monitor18_ch6,1346.4,KO,F,W0,R2
205,527,adj_Monitor30_ch9,1344.8,Y160C,F,W0,R1
206,169,adj_Monitor18_ch19,1344.2,KO,F,W0,R2
207,261,adj_Monitor20_ch18,1343.2,Y160C,M,W0,R1
208,834,adj_Monitor42_ch5,1340.6,W422X,F,W0,R2
209,708,adj_Monitor38_ch7,1339.6,KO,M,W0,R4
210,764,adj_Monitor3_ch29,1339.6,W422X,M,W0,R3
211,944,adj_Monitor5_ch2,1339.4,WG2,F,W0,R2
212,156,adj_Monitor16_ch7,1339,WG2,F,W0,R4
213,193,adj_Monitor19_ch11,1337.8,KO,M,W0,R2
214,915,adj_Monitor50_ch21,1337.2,W422X,F,W0,R3
215,166,adj_Monitor18_ch16,1335.8,KO,F,W0,R2
216,930,adj_Monitor50_ch6,1334.4,W422X,F,W0,R3
